ID,country,designation,points,price,province,region,variety,winery
40,Spain,Amandi,90,17.0,Galicia,Ribeira Sacra,Mencía,Don Bernardino
41,Spain,Alfonso Oloroso Seco,90,26.0,Andalucia,Jerez,Palomino,González Byass
43,Italy,Riserva,90,39.0,Tuscany,Chianti Classico,Red Blend,Rignana
44,France,Coteaux,90,69.0,Rhône Valley,Cornas,Syrah,Tardieu-Laurent
45,Italy,Vigneto Odoardo Beccari Riserva,90,30.0,Tuscany,Chianti Classico,Red Blend,Vignavecchia
46,Italy,Poggio alle Mura,90,90.0,Tuscany,Brunello di Montalcino,Sangiovese,Banfi
47,US,Estate Grown,90,60.0,California,Mount Veeder,Cabernet Sauvignon,Brandlin
50,Italy,Riserva,90,100.0,Tuscany,Brunello di Montalcino,Sangiovese,Capanne Ricci
52,France,Les 7 Hommes,90,42.0,Loire Valley,Sancerre,Sauvignon Blanc,Cherrier Frères
53,France,L'Inédit,90,28.0,Loire Valley,Coteaux du Giennois,Pinot Noir,Clement et Florian Berthier
55,US,Four Flags,90,69.0,Washington,Red Mountain,Cabernet Sauvignon,DeLille
57,US,Reserve,90,25.0,New York,Finger Lakes,Riesling,Dr. Konstantin Frank
58,US,Final Final,90,30.0,Washington,Columbia Valley (WA),Cabernet Sauvignon-Syrah,Efeste
59,Italy,Poggio Bestiale,90,60.0,Tuscany,Maremma Toscana,Red Blend,Fattoria di Magliano
60,Argentina,The Apple Doesn't Fall Far From The Tree,91,30.0,Mendoza Province,Mendoza,Malbec,Matias Riccitelli
62,Argentina,Alegoría Gran Reserva,91,25.0,Mendoza Province,Mendoza,Malbec,Navarro Correas
63,France,L'Homme Mort Premier Cru,91,45.0,Burgundy,Chablis,Chardonnay,Domaine Chenevières
65,US,Estate Select,91,36.0,California,Santa Clara Valley,Syrah,Jason-Stephens
66,France,Fourchaume Premier Cru,91,38.0,Burgundy,Chablis,Chardonnay,Louis Max
67,US,Animo,91,85.0,California,Napa Valley,Cabernet Sauvignon,Michael Mondavi Family Estate
68,US,Schindler Vineyard,91,50.0,Oregon,Eola-Amity Hills,Pinot Noir,Panther Creek
69,US,Barrel Select,91,60.0,California,Rutherford,Cabernet Sauvignon,Provenance Vineyards
70,US,District Collection,91,85.0,California,St. Helena,Cabernet Sauvignon,Raymond
75,US,Premier Cuvée,91,54.0,Oregon,Willamette Valley,Pinot Noir,Archery Summit
76,France,Le Nombre d'Or Brut Nature,91,85.0,Champagne,Champagne,Chardonnay,Aubry
77,US,Juliana Vineyard,91,38.0,California,Napa Valley,Sauvignon Blanc,B Cellars
79,Italy,Boscato,91,75.0,Piedmont,Barolo,Nebbiolo,Bel Colle
80,US,Aeolian,91,42.0,Oregon,Eola-Amity Hills,Pinot Noir,Bethel Heights
83,Italy,del Comune di Serralunga d'Alba,91,59.0,Piedmont,Barolo,Nebbiolo,Cascina Cucco
84,Italy,Bricco Luciani,91,85.0,Piedmont,Barolo,Nebbiolo,Cascina del Monastero
85,Italy,Bricco Gattera,91,80.0,Piedmont,Barolo,Nebbiolo,Cordero di Montezemolo
86,France,Montmains Premier Cru,91,45.0,Burgundy,Chablis,Chardonnay,Domaine Gérard Duplessis
88,US,Bacigalupi Vineyard,91,65.0,California,Russian River Valley,Pinot Noir,Eleven Eleven
89,US,Magnificat,91,50.0,California,Napa Valley,Meritage,Franciscan
92,Italy,Nature,86,22.0,Veneto,Prosecco,Glera,De Stefani
93,US,Small Lot Blend,86,13.0,California,Mendocino County,Chardonnay,Parducci
95,France,Château Beauvillain-Monpezat,86,14.0,Southwest France,Cahors,Malbec-Merlot,Rigal
98,France,Pigmentum,86,15.0,Southwest France,Buzet,Merlot-Malbec,Georges Vigouroux
99,France,Pigmentum,86,10.0,Southwest France,Côtes de Gascogne,Ugni Blanc-Colombard,Georges Vigouroux
101,US,Stephanie,86,50.0,California,Napa Valley,Cabernet Sauvignon,Hestan
103,US,Bella's Blend,86,48.0,California,Knights Valley,Cabernet Sauvignon-Cabernet Franc,Ehret
104,US,Tears of Dew Late Harvest,86,20.0,California,Paso Robles,Moscato,EOS
105,US,Tudor Hills Vineyard,86,17.0,Washington,Yakima Valley,Pinot Grigio,Martinez & Martinez
109,US,Homestead Block,86,45.0,California,Napa Valley,Chardonnay,Kuleto Estate
111,Argentina,Terroir Único Pinot Noir,86,12.0,Mendoza Province,Tupungato,Rosé,Zorzal
112,US,Limited Release Cold Springs Vineyard,86,125.0,California,Howell Mountain,Cabernet Sauvignon,Charles Krug
113,US,Castle Hill Vineyard,86,25.0,New York,Hudson River Region,Riesling,Millbrook
115,Argentina,Reserva,86,15.0,Mendoza Province,Valle de Uco,Malbec,Viñalba
120,US,The Flyer,91,59.0,California,Russian River Valley,Pinot Noir,MacPhail
121,US,Charles Vineyard Clone 05,91,49.0,California,Anderson Valley,Pinot Noir,Foursight
122,US,Solomon Hills Vineyard Rosé,91,42.0,California,Santa Maria Valley,Sparkling Blend,Goat Bubbles
123,US,Paris Tasting Commemorative,91,93.0,California,Napa Valley,Chardonnay,Grgich Hills
124,US,Methode a l'Ancienne,91,32.0,California,Anderson Valley,Pinot Noir,Navarro
126,US,Grand Wren,90,100.0,California,Amador County,Zinfandel,Renwood
127,US,Central Park West Vineyard,90,50.0,California,St. Helena,Cabernet Sauvignon,Trinchero
128,Spain,Arnegui Reserva,90,22.0,Northern Spain,Rioja,Tempranillo,Pagos del Rey
129,Italy,Chianta Bianco,90,45.0,Sicily & Sardinia,Etna,White Blend,Biondi
132,US,Cooper Ranch,90,26.0,California,Amador County,Barbera,Andis
134,US,Longwood,90,30.0,California,Napa Valley,Cabernet Sauvignon,Beaucanon
135,US,Estate,90,42.0,California,Adelaida District,Grenache,Brecon Estate
136,US,Mustang Springs,90,38.0,California,Adelaida District,Zinfandel,Peachy Canyon
137,US,SMC,90,48.0,California,California,Rhône-style Red Blend,Three
138,Spain,Crianza,90,17.0,Northern Spain,Rioja,Tempranillo,Valdelacierva
139,France,Le,90,18.0,Languedoc-Roussillon,Coteaux du Languedoc Pic Saint Loup,Rosé,Château de Lancyre
141,US,Rte Blanc,90,28.0,California,Napa Valley,Sauvignon Blanc,Clif Family
142,US,Hook Vineyard,90,25.0,California,Santa Lucia Highlands,Grenache,Santa Cruz Mountain Vineyard
144,US,Jespersen Ranch,90,24.0,California,Edna Valley,Albariño,Stephen Ross
146,US,Estate Grown,90,36.0,California,Napa Valley,Zinfandel,Grgich Hills
152,Spain,Brut Reserva,89,17.0,Catalonia,Cava,Sparkling Blend,Bohigas
158,Spain,Viña Real Gran Reserva,89,44.0,Northern Spain,Rioja,Tempranillo,CVNE
160,US,Range 30 West,89,42.0,California,Happy Canyon of Santa Barbara,Bordeaux-style Red Blend,Foxen 7200
162,Spain,Gaudium,89,44.0,Northern Spain,Rioja,Tempranillo Blend,Marqués de Cáceres
164,US,Mill Road Vineyard,89,23.0,California,Paso Robles,Viognier,Eberle
165,US,Freedom Hill Vineyard,89,36.0,Oregon,Willamette Valley,Pinot Noir,Silvan Ridge
166,Italy,Le Redini,89,25.0,Tuscany,Toscana,Red Blend,Tenuta degli Dei
167,Italy,Il Guardiano,89,22.0,Tuscany,Toscana,Red Blend,Poggio Mandorlo
169,US,Del Arroyo Vineyard,89,25.0,California,Livermore Valley,Chardonnay,Occasio
173,US,Charles Vineyard Clone O5,89,49.0,California,Anderson Valley,Pinot Noir,Foursight
174,France,Héritages Elevé en Foudres de Chêne,89,16.0,Rhône Valley,Côtes du Rhône,Rhône-style Red Blend,Ogier
175,Spain,Gran Bajoz,89,30.0,Northern Spain,Toro,Tinta de Toro,Pagos del Rey
176,Italy,Palazzo Altesi,89,40.0,Tuscany,Toscana,Sangiovese,Altesino
177,Italy,Il Borgo,89,57.0,Tuscany,Toscana,Red Blend,Cabreo
178,US,Lot 525,89,29.0,California,Napa Valley,Cabernet Sauvignon,Cameron Hughes
181,US,Estate Reserve,88,25.0,California,Paso Robles,Syrah,San Simeon
182,US,Sonatera Vineyard,88,49.0,California,Sonoma Coast,Pinot Noir,Siduri
183,US,Boushey Vineyard,88,20.0,Washington,Yakima Valley,Picpoul,Syncline
184,Argentina,Trinità Grand Reserve,88,26.0,Mendoza Province,Luján de Cuyo,Bordeaux-style Red Blend,Piattelli
185,US,Entwined,88,34.0,Washington,Columbia Valley (WA),Bordeaux-style Red Blend,Pondera
186,US,French Camp Vineyard,88,38.0,California,Paso Robles,Zinfandel,Tobin James
187,US,French Camp Vineyard,88,38.0,California,Paso Robles,Zinfandel,Tobin James
188,Spain,Sobre Lías,88,25.0,Northern Spain,Valdeorras,Godello,Valdesil
189,Spain,Negre,87,22.0,Catalonia,Montsant,Red Blend,Jaspi
190,Argentina,Reserve,87,15.0,Mendoza Province,Tupungato,Malbec,Tupun
197,US,Rosé of,87,18.0,Washington,Columbia Valley (WA),Malbec,Hamilton
198,US,Ingle Vineyard Unoaked,87,18.0,New York,Finger Lakes,Chardonnay,Heron Hill
199,US,Semi-Dry,87,14.0,New York,Finger Lakes,Riesling,Heron Hill
200,US,Semi-Dry,87,14.0,New York,Finger Lakes,Riesling,Fox Run
201,US,Ice Wine,87,40.0,New York,Finger Lakes,Cabernet Franc,Glenora
208,US,Weinbau,87,32.0,Washington,Wahluke Slope,Grenache,Sol Stone
209,Spain,Yá Cuvée 23 Brut Rosé,87,18.0,Catalonia,Cava,Sparkling Blend,Sumarroca
211,Italy,Nervo,93,49.0,Piedmont,Barbaresco,Nebbiolo,Rizzi
212,US,Rocky Ridge Vineyard,93,50.0,California,Rockpile,Zinfandel,Robert Biale
213,Italy,Fausoni,93,58.0,Piedmont,Barbaresco,Nebbiolo,Sottimano
214,France,Rosacker Grand Cru,93,39.0,Alsace,Alsace,Riesling,Domaine Jean-Luc Mader
215,France,Clos Häuserer Wintzenheim,93,65.0,Alsace,Alsace,Riesling,Domaine Zind-Humbrecht
218,France,Pfingstberg Paradis Grand Cru,93,42.0,Alsace,Alsace,Riesling,Domaine François Schmitt
219,France,Altenberg de Bergheim Grand Cru Vieilles Vignes,93,61.0,Alsace,Alsace,Riesling,Gustave Lorentz
220,US,Collaboration Series VI Ciel du Cheval Vineyard,93,58.0,Washington,Red Mountain,G-S-M,Force Majeure
221,US,Hastings Ranch Vineyard,93,38.0,California,Paso Robles,Mourvèdre,Anglim
222,France,Heissenberg,93,48.0,Alsace,Alsace,Riesling,Domaine Ostertag
223,US,Stagecoach Vineyards The Biale Block,93,50.0,California,Napa Valley,Zinfandel,Robert Biale
224,Italy,Pajorè,93,58.0,Piedmont,Barbaresco,Nebbiolo,Sottimano
226,US,Estate,93,50.0,California,Fort Ross-Seaview,Syrah,Red Car
227,US,Collaboration Series V Ciel du Cheval Vineyard,93,80.0,Washington,Red Mountain,Cabernet Sauvignon,Force Majeure
228,US,White Hawk Vineyard,93,40.0,California,Santa Barbara County,Syrah,Mulvane Wine Co.
230,US,Double Canyon Vineyard,93,48.0,Washington,Horse Heaven Hills,Cabernet Sauvignon,Double Canyon
231,US,Red Rock Terrace,93,200.0,California,Napa Valley,Cabernet Sauvignon,Diamond Creek
232,US,Ciel du Cheval Vineyard,93,39.0,Washington,Red Mountain,Petit Verdot,Côtes de Ciel
233,US,Kingpin,93,62.0,Washington,Red Mountain,Cabernet Sauvignon,Sparkman
235,France,Domaine Saint-Rémy Schlosberg Grand Cru,92,35.0,Alsace,Alsace,Riesling,Domaine Ehrhart
236,France,Pfersigberg Grand Cru,92,48.0,Alsace,Alsace,Riesling,Domaine Zinck
237,France,Calcaire,92,55.0,Alsace,Alsace,Riesling,Domaine Zind-Humbrecht
239,Italy,Coste Rubin,92,69.0,Piedmont,Barbaresco,Nebbiolo,Fontanafredda
246,US,Estate,88,36.0,Oregon,McMinnville,Pinot Noir,Coeur de Terre
248,US,Limited Selection,88,24.0,California,Central Coast,Chardonnay,Daniel Gehrs
249,US,Cuvée Luke Saralee's Vineyard,88,30.0,California,Russian River Valley,Rhône-style White Blend,Davis Family
252,US,Wits' End,88,60.0,Oregon,Chehalem Mountains,Pinot Noir,Roco
253,US,Toyon Farm,88,54.0,California,Carneros,Pinot Noir,Saintsbury
254,US,Early,88,15.0,Oregon,Willamette Valley,Muscat,Silvan Ridge
255,Italy,Bussia,88,56.0,Piedmont,Barolo,Nebbiolo,Silvano Bolmida
256,US,Estate,88,20.0,California,Napa Valley,Sauvignon Blanc,St. Supéry
257,US,Guidotti Vineyard,88,61.0,California,Santa Lucia Highlands,Pinot Noir,Testarossa
259,Spain,Prestigio,88,30.0,Northern Spain,Cigales,Tempranillo,Val de Los Frailes
260,Spain,Crianza,88,17.0,Central Spain,La Mancha,Tempranillo Blend,Yuntero
262,US,Querida,88,40.0,California,Paso Robles,Cabernet Sauvignon-Merlot,Oso Libre
263,US,Primoroso,88,39.0,California,Paso Robles,Red Blend,Oso Libre
264,Italy,del Comune di Serralunga d'Alba,88,49.0,Piedmont,Barolo,Nebbiolo,Palladino
265,France,Domaine de Saint-Pierre,88,23.0,Loire Valley,Sancerre,Sauvignon Blanc,Pierre Prieur et Fils
267,US,Anna's Estate Vineyard,88,32.0,California,Paso Robles,Mourvèdre,Adelaida
269,Argentina,Single Vineyard Reserva,88,15.0,Mendoza Province,Agrelo,Cabernet Sauvignon,Lamadrid
270,France,Pertuisots Premier Cru,92,92.0,Burgundy,Beaune,Pinot Noir,Domaine de Bellene
271,France,Clos du Cailleret Premier Cru,92,94.0,Burgundy,Chassagne-Montrachet,Chardonnay,Domaine Vincent Girardin
272,US,Haynes Vineyard,92,58.0,California,Coombsville,Chardonnay,Failla
273,US,Suzuri Series Shake Ridge Ranch,92,50.0,California,Amador County,Rhône-style Red Blend,Gallica
274,US,Vintage Brut,92,48.0,California,Russian River Valley,Sparkling Blend,J Vineyards & Winery
276,Italy,Sirmian,92,27.0,Northeastern Italy,Alto Adige,Pinot Bianco,Nals Margreid
279,US,Solomon Hills Vineyard,92,43.0,California,Santa Maria Valley,Pinot Noir,Ryan Cochrane
280,Italy,Monte Carbonare,92,33.0,Veneto,Soave Classico,Garganega,Suavia
281,Italy,Quarz,92,60.0,Northeastern Italy,Alto Adige,Sauvignon,Cantina Terlano
283,France,Réserve,92,30.0,Bordeaux,Graves,Bordeaux-style Red Blend,Château Haut Selve
284,US,Lampyridae Vineyards,92,100.0,California,Mount Veeder,Cabernet Sauvignon,Communication Block
285,US,Le Mistral Vineyard,92,35.0,California,Monterey County,Syrah,Baker & Brain
286,France,Les Charmes Dessus,91,60.0,Burgundy,Santenay,Chardonnay,Domaine de Bellene
287,France,Cuvée Germain,91,16.0,Southwest France,Côtes du Tarn,Bordeaux-style Red Blend,Domaine D'en Ségur
288,France,Quintessence,91,40.0,Burgundy,Pouilly-Fuissé,Chardonnay,Domaine Sangouard-Guyot
289,US,Clay Court,91,60.0,Oregon,Willamette Valley,Pinot Noir,Elk Cove
293,US,Kruse Vineyards,91,42.0,California,Paso Robles,Syrah,Jack Creek
295,US,Rosé of,91,20.0,California,Napa Valley,Pinot Noir,Brick & Mortar
296,Italy,Prail,91,25.0,Northeastern Italy,Alto Adige,Sauvignon,Colterenzio
297,Italy,Puiten,91,23.0,Northeastern Italy,Alto Adige,Pinot Grigio,Colterenzio
298,US,Estate Grown,91,38.0,California,Carneros,Pinot Noir,Cuvaison
299,US,Nova Vineyard,91,32.0,California,Clear Lake,Zinfandel,De Loach
300,US,The Funk Estate,94,60.0,Washington,Walla Walla Valley (WA),Syrah,Saviah
301,US,Estate Bottled,94,30.0,California,Napa Valley,Riesling,Smith-Madrone
302,Italy,Vigneto Monte Sant'Urbano,94,85.0,Veneto,Amarone della Valpolicella Classico,Red Blend,Speri
303,US,White,94,30.0,California,Napa Valley,Riesling,Stony Hill
304,US,Sierra Madre Vineyard,94,65.0,California,Santa Maria Valley,Pinot Noir,Testarossa
306,US,Bergström Vineyard,94,90.0,Oregon,Dundee Hills,Pinot Noir,Bergström
307,US,Angel Hawk,94,85.0,California,Anderson Valley,Pinot Noir,Black Kite
308,US,King Ridge Vineyard Hirsch Selection,94,70.0,California,Fort Ross-Seaview,Pinot Noir,Blue Farm
309,US,Evenstad Reserve,94,70.0,Oregon,Willamette Valley,Pinot Noir,Domaine Serene
310,US,Bacigalupi Vineyard,94,60.0,California,Russian River Valley,Pinot Noir,Gary Farrell
311,Italy,Contrada Salvarenza Vecchie Vigne,94,38.0,Veneto,Soave Classico,Garganega,Gini
312,Italy,La Froscà,94,29.0,Veneto,Soave Classico,Garganega,Gini
313,US,Outer Limits,94,155.0,California,Napa Valley,Cabernet Sauvignon,Parallel
314,US,Durant Vineyard Bishop Block,94,48.0,Oregon,Dundee Hills,Pinot Noir,Patricia Green Cellars
315,US,Godspeed,94,95.0,California,Mount Veeder,Cabernet Sauvignon,Sbragia
316,US,Tognetti Vineyard Brut,94,80.0,California,Carneros,Sparkling Blend,Schramsberg
317,US,Ribbon Ridge Estate,94,49.0,Oregon,Ribbon Ridge,Pinot Noir,Trisaetum
318,France,Château Montus,94,35.0,Southwest France,Madiran,Tannat-Cabernet,Vignobles Brumont
319,US,Old Stones,94,50.0,Washington,Walla Walla Valley (WA),Syrah,Waters
320,France,La Bégude,94,44.0,Provence,Bandol,Provence red blend,Domaine de la Bégude
321,Spain,QP,94,68.0,Northern Spain,Rioja,Tempranillo Blend,Bodega Classica
324,US,Pellet Vineyard,94,95.0,California,Napa Valley,Cabernet Sauvignon,Pellet Estate
325,France,La Bégude,94,44.0,Provence,Bandol,Provence red blend,Domaine de la Bégude
326,Argentina,Alta Barrancas Vineyards,94,50.0,Mendoza Province,Mendoza,Cabernet Sauvignon,Pascual Toso
327,France,Garrus,94,100.0,Provence,Côtes de Provence,Rosé,Château d'Esclans
328,France,Cuvée Marguerite Massaut,94,70.0,Southwest France,Cahors,Malbec,Château Lagrézette
329,US,Aurora Vineyard,94,63.0,Oregon,Willamette Valley,Chardonnay,Ponzi
330,Italy,Monvigliero,91,75.0,Piedmont,Barolo,Nebbiolo,Fratelli Alessandria
332,US,Latro,91,50.0,California,Knights Valley,Cabernet Sauvignon,Galerie
333,Spain,Etiqueta Ambar,91,22.0,Galicia,Rías Baixas,Albariño,Granbazán
334,US,Grieve Family Vineyard,91,45.0,California,Napa Valley,Sauvignon Blanc,Grieve
336,US,XCV,91,38.0,California,Paso Robles Willow Creek District,Rhône-style White Blend,Jada Vineyard & Winery
338,US,Rosé of,91,22.0,California,Knights Valley,Syrah,Lawer
340,Italy,Coste di Rose,91,90.0,Piedmont,Barolo,Nebbiolo,Marchesi di Barolo
341,US,Emblem Oso Vineyard,91,60.0,California,Napa Valley,Cabernet Sauvignon,Michael Mondavi Family Estate
342,Italy,Brunate,91,115.0,Piedmont,Barolo,Nebbiolo,Oddero
343,US,Estate Cuvée,91,55.0,California,Russian River Valley,Pinot Noir,Small Vines
346,US,Lone Oak Vineyard,91,48.0,California,Santa Lucia Highlands,Chardonnay,Testarossa
347,US,Starr Ridge Vineyard Estate,91,40.0,California,Russian River Valley,Chardonnay,Thomas George
349,Italy,Paesi Tuoi,91,60.0,Piedmont,Barolo,Nebbiolo,Vite Colte
350,US,Sierra Madre Vineyard,91,50.0,California,Santa Maria Valley,Chardonnay,Wedell Cellars
351,US,Juliard Vineyard,91,48.0,Oregon,Dundee Hills,Pinot Noir,Winderlea
352,France,Grand Cru Blanc de Blancs Chouilly Brut,91,54.0,Champagne,Champagne,Chardonnay,A.R. Lenoble 
354,US,Brut Rosé,91,50.0,Oregon,Willamette Valley,Sparkling Blend,Argyle
356,US,Rosella's Vineyard,91,40.0,California,Santa Lucia Highlands,Chardonnay,Bernardus
358,Italy,Parej,91,85.0,Piedmont,Barolo,Nebbiolo,Icardi
359,Spain,Crianza,91,32.0,Northern Spain,Ribera del Duero,Tempranillo,Matarromera
360,US,Cuore della Vigne,90,41.0,California,Paso Robles,Red Blend,Le Vigne
361,US,Kiler Grove Vineyard,90,27.0,California,Paso Robles Willow Creek District,Ugni Blanc,Paix Sur Terre
362,US,Winemaker's Reserve,90,29.0,Oregon,Umpqua Valley,Grüner Veltliner,Reustle
363,France,Galets Oligocène,90,33.0,Alsace,Alsace,Pinot Noir,Domaine Bott-Geyl
368,France,Vieilles Vignes,90,27.0,Alsace,Alsace,Sylvaner,Domaine Ostertag
369,France,Vieilles Vignes,90,22.0,Alsace,Alsace,Chasselas,Domaine Schoffit
370,France,Zind,90,30.0,Alsace,Alsace,Alsace white blend,Domaine Zind-Humbrecht
372,US,Sisters Estate,90,45.0,Oregon,Dundee Hills,Pinot Noir,The Eyrie Vineyards
373,France,Domaine du Pavillon Clos des Ursulines,90,80.0,Burgundy,Pommard,Pinot Noir,Albert Bichot
381,US,Classic Collection,90,24.0,California,Napa Valley,Merlot,Napa Cellars
382,US,Rector Creek Vineyard,90,80.0,California,Napa Valley,Red Blend,Paraduxx
383,Spain,Reserva,90,35.0,Northern Spain,Ribera del Duero,Tempranillo,Quintana de Cue
385,Spain,Orquestal,90,28.0,Central Spain,La Mancha,Tempranillo,Casa del Valle
387,US,Olson Vineyard,90,28.0,California,Dry Creek Valley,Cabernet Sauvignon,Joleté
388,US,The Truant,90,36.0,California,California,Rhône-style Red Blend,Prospect 772
390,US,Proprietor's Reserve,90,50.0,California,Central Coast,Chardonnay,Hearst Ranch
391,US,Cabovation Destiny Vineyards Mt. Christo Block Reserve,90,75.0,California,Paso Robles,Cabernet Sauvignon,Hunt Cellars
393,US,Seven Hills Vineyard,90,46.0,Washington,Walla Walla Valley (WA),Malbec,Merry Cellars
394,Canada,Compendium,90,70.0,British Columbia,Okanagan Valley,Bordeaux-style Red Blend,Mission Hill
395,Spain,Albariño de Fefiñanes,90,26.0,Galicia,Rías Baixas,Albariño,Palacio de Fefiñanes
397,Italy,Villa al Cortile Riserva,90,60.0,Tuscany,Brunello di Montalcino,Sangiovese,Piccini
398,Italy,Riserva,90,75.0,Tuscany,Brunello di Montalcino,Sangiovese,Pietranera
400,Italy,Riserva,90,95.0,Tuscany,Brunello di Montalcino,Sangiovese,Renieri
403,US,Trois Fleurs,90,20.0,California,Santa Ynez Valley,White Blend,Carlson
404,France,Cuvée Setier,90,27.0,Rhône Valley,Côtes du Rhône Villages,Rhône-style Red Blend,Château Pégau
405,France,Cuvée de Nalys,90,20.0,Rhône Valley,Châteauneuf-du-Pape,Rhône-style Red Blend,Kirkland Signature
406,US,Kate's + B's,90,75.0,California,Alexander Valley,Cabernet Sauvignon,Medlock Ames
407,US,New Generation,90,28.0,California,Russian River Valley,Sauvignon Blanc,Passaggio
409,US,Signpost,90,22.0,California,Sonoma Coast,Chardonnay,Trig Point
410,Spain,Mirlo Blanco,90,49.0,Spain Other,Spain,White Blend,Valquejigoso
415,US,Elevation Annadel Gap Vineyard Estate,90,38.0,California,Sonoma Valley,Rhône-style Red Blend,Westwood
417,Italy,Berardo Riserva,90,30.0,Tuscany,Chianti Classico,Sangiovese,Castello di Bossi
419,Italy,Riserva,90,35.0,Tuscany,Chianti Classico,Sangiovese,Cafaggio
421,US,Rapscallion,87,30.0,California,Paso Robles,Zinfandel,League of Rogues
423,US,Weinbau,87,32.0,Washington,Wahluke Slope,Grenache,Sol Stone
424,Spain,Yá Cuvée 23 Brut Rosé,87,18.0,Catalonia,Cava,Sparkling Blend,Sumarroca
425,Spain,Crianza,87,27.0,Northern Spain,Ribera del Duero,Tempranillo,Trus
428,US,Chandler Vineyard,87,30.0,California,Livermore Valley,Chardonnay,McGrail
429,US,Freakshow,87,20.0,California,Lodi,Cabernet Sauvignon,Michael David
431,US,Southern,87,22.0,Washington,Yakima Valley,Rhône-style White Blend,Cairdeas
432,Italy,Vigna Poggio Ronconi,87,75.0,Tuscany,Brunello di Montalcino,Sangiovese,Citille di Sopra
433,Italy,Filo di Seta,87,98.0,Tuscany,Brunello di Montalcino,Sangiovese,Castello Romitorio
438,Italy,Pagliatura,87,28.0,Tuscany,Maremma Toscana,Vermentino,Fattoria di Magliano
439,Spain,Buleria Fino,87,25.0,Andalucia,Jerez,Sherry,Bodegas Dios Baco S.L.
440,Italy,Scirè,87,17.0,Tuscany,Bolgheri,Red Blend,Ceralti
442,Spain,Crianza,87,15.0,Northern Spain,Ribera del Duero,Tempranillo,Condado de Oriza
443,Spain,Premium,87,16.0,Andalucia,Manzanilla-Sanlúcar de Barrameda,Sherry,Delgado Zuleta
444,Spain,Roble 4 Meses en Barrica,87,15.0,Northern Spain,Ribera del Duero,Tempranillo Blend,Señorío de Sotillo
